nohup: ignoring input
[I 2025-08-07 05:30:45,841] Trial 76 finished with value: 0.37326903984238713 and parameters: {'d_hidden': 512, 'd_model': 32, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 05:42:43,442] Trial 77 finished with value: 0.3036336340792307 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 16}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 05:58:41,315] Trial 78 finished with value: 0.3454530881232169 and parameters: {'d_hidden': 768, 'd_model': 128, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 06:10:43,777] Trial 79 finished with value: 0.9671592824118024 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 48}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 06:22:26,489] Trial 80 finished with value: 0.01474143912019613 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 06:34:13,929] Trial 81 finished with value: 0.01474143912019613 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 06:46:04,920] Trial 82 finished with value: 0.01474143912019613 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 06:57:57,540] Trial 83 finished with value: 0.01474143912019613 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 07:09:22,675] Trial 84 finished with value: 0.5829149136896112 and parameters: {'d_hidden': 128, 'd_model': 128, 'mapping_size': 16}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 07:20:39,093] Trial 85 finished with value: 1.490243593701533 and parameters: {'d_hidden': 256, 'd_model': 64, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 07:32:42,716] Trial 86 finished with value: 0.9671592824118024 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 48}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 07:43:08,574] Trial 87 finished with value: 1.004577719596295 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 07:55:14,062] Trial 88 finished with value: 0.3036336340792307 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 16}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 08:08:56,105] Trial 89 finished with value: 0.03181714427818782 and parameters: {'d_hidden': 512, 'd_model': 128, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 08:19:43,388] Trial 90 finished with value: 0.115089415478709 and parameters: {'d_hidden': 256, 'd_model': 32, 'mapping_size': 48}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 08:31:27,088] Trial 91 finished with value: 0.01474143912019613 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 08:43:11,288] Trial 92 finished with value: 0.01474143912019613 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 08:54:53,693] Trial 93 finished with value: 0.01474143912019613 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 09:06:43,788] Trial 94 finished with value: 0.01474143912019613 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 09:18:51,659] Trial 95 finished with value: 0.3036336340792307 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 16}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 09:30:39,326] Trial 96 finished with value: 0.01474143912019613 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 09:46:32,481] Trial 97 finished with value: 0.6631035038435685 and parameters: {'d_hidden': 768, 'd_model': 128, 'mapping_size': 48}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 09:58:12,344] Trial 98 finished with value: 0.01474143912019613 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 32}. Best is trial 5 with value: 0.01474143912019613.
[I 2025-08-07 10:09:33,127] Trial 99 finished with value: 0.10790815832344984 and parameters: {'d_hidden': 128, 'd_model': 128, 'mapping_size': 80}. Best is trial 5 with value: 0.01474143912019613.
New smallest L1 error: 0.9627 at trial 0
New smallest L1 error: 0.0226 at trial 4
New smallest L1 error: 0.0147 at trial 5
Best trial:
  Value: 0.01474143912019613
  Params:
    d_hidden: 256
    d_model: 128
    mapping_size: 32
